stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
"ch:1:sloid:90658::50","Horgen, Rotweg","47.25697337","8.60805231","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590658&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90658::51","Horgen, Rotweg","47.25657096","8.60872605","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590658&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90659::50","Horgen, Schärbächli/Fähre","47.25938771","8.60216835","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590659&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90659::51","Horgen, Schärbächli/Fähre","47.25893655","8.60308463","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590659&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90660::51","Horgen, Schinzenhof","47.26064361","8.59713778","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590660&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90661::50","Horgen, Teufenbach","47.25629050","8.60490821","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590661&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90661::51","Horgen, Teufenbach","47.25610759","8.60553703","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590661&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90662::50","Horgen, Waldhof","47.23319595","8.62033228","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590662&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90662::51","Horgen, Waldhof","47.23274457","8.62044906","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590662&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90663::50","Horgen, Wannenthal","47.25662584","8.60193479","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590663&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90663::51","Horgen, Wannenthal","47.25656487","8.60241089","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590663&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90665::50","Horgenberg, Nordecke","47.25985106","8.57812943","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590665&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90665::51","Horgenberg, Nordecke","47.25989983","8.57808451","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590665&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90668::50","Itschnach, Rebweg","47.32646972","8.59810796","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590668&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90668::51","Itschnach, Rebweg","47.32667065","8.59804508","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590668&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90669::50","Itschnach, Tägermoos","47.32565988","8.59400266","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590669&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90669::51","Itschnach, Tägermoos","47.32604349","8.59391283","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590669&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90670::50","Kilchberg ZH, Alterszentrum","47.32002112","8.54066070","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590670&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90670::51","Kilchberg ZH, Alterszentrum","47.31975317","8.54093019","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590670&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90671::50","Kilchberg ZH, Auf Brunnen","47.31876662","8.54562838","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590671&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90671::51","Kilchberg ZH, Auf Brunnen","47.31869963","8.54570025","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590671&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90672::51","Kilchberg ZH, Bächlerstrasse","47.32918533","8.53956476","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590672&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90673::50","Kilchberg ZH, Bahnhof","47.32460037","8.54809875","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590673&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90674::50","Kilchberg ZH, Bendlikon","47.32210375","8.55030861","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590674&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
