from_stop_id,to_stop_id,transfer_type,min_transfer_time
"ch:1:sloid:3078::1","ch:1:sloid:3078::0","2","120"
"ch:1:sloid:3078::1","ch:1:sloid:90879::50","2","180"
"ch:1:sloid:3078::1","ch:1:sloid:90879::51","2","180"
"ch:1:sloid:30811::0","ch:1:sloid:10553::20","2","60"
"ch:1:sloid:30811::0","ch:1:sloid:30811::1","2","60"
"ch:1:sloid:30811::0","ch:1:sloid:30811::2","2","60"
"ch:1:sloid:30811::0","ch:1:sloid:30811::21","2","60"
"ch:1:sloid:30811::0","ch:1:sloid:30811::50","2","120"
"ch:1:sloid:30811::1","ch:1:sloid:10553::20","2","60"
"ch:1:sloid:30811::1","ch:1:sloid:30811::0","2","60"
"ch:1:sloid:30811::1","ch:1:sloid:30811::2","2","60"
"ch:1:sloid:30811::1","ch:1:sloid:30811::21","2","60"
"ch:1:sloid:30811::1","ch:1:sloid:30811::50","2","120"
"ch:1:sloid:30811::2","ch:1:sloid:10553::20","2","60"
"ch:1:sloid:30811::2","ch:1:sloid:30811::0","2","60"
"ch:1:sloid:30811::2","ch:1:sloid:30811::1","2","60"
"ch:1:sloid:30811::2","ch:1:sloid:30811::21","2","60"
"ch:1:sloid:30811::2","ch:1:sloid:30811::50","2","120"
"ch:1:sloid:30811::21","ch:1:sloid:10553::20","2","60"
"ch:1:sloid:30811::21","ch:1:sloid:30811::0","2","60"
"ch:1:sloid:30811::21","ch:1:sloid:30811::1","2","60"
"ch:1:sloid:30811::21","ch:1:sloid:30811::2","2","60"
"ch:1:sloid:30811::21","ch:1:sloid:30811::50","2","120"
"ch:1:sloid:30811::50","ch:1:sloid:10553::20","2","180"
"ch:1:sloid:30811::50","ch:1:sloid:30811::0","2","120"
"ch:1:sloid:30811::50","ch:1:sloid:30811::1","2","120"
"ch:1:sloid:30811::50","ch:1:sloid:30811::2","2","120"
"ch:1:sloid:30811::50","ch:1:sloid:30811::21","2","120"
"ch:1:sloid:30812::0","ch:1:sloid:30812::1","2","60"
"ch:1:sloid:30812::0","ch:1:sloid:30812::10","2","60"
"ch:1:sloid:30812::0","ch:1:sloid:30812::11","2","120"
"ch:1:sloid:30812::0","ch:1:sloid:30812::12","2","120"
"ch:1:sloid:30812::0","ch:1:sloid:30812::13","2","60"
"ch:1:sloid:30812::0","ch:1:sloid:30812::2","2","60"
"ch:1:sloid:30812::0","ch:1:sloid:30812::21","2","60"
"ch:1:sloid:30812::1","ch:1:sloid:30812::0","2","60"
"ch:1:sloid:30812::1","ch:1:sloid:30812::10","2","60"
"ch:1:sloid:30812::1","ch:1:sloid:30812::11","2","120"
"ch:1:sloid:30812::1","ch:1:sloid:30812::12","2","120"
"ch:1:sloid:30812::1","ch:1:sloid:30812::13","2","60"
"ch:1:sloid:30812::1","ch:1:sloid:30812::2","2","60"
"ch:1:sloid:30812::1","ch:1:sloid:30812::21","2","60"
"ch:1:sloid:30812::10","ch:1:sloid:30812::0","2","60"
"ch:1:sloid:30812::10","ch:1:sloid:30812::1","2","60"
"ch:1:sloid:30812::10","ch:1:sloid:30812::11","2","120"
"ch:1:sloid:30812::10","ch:1:sloid:30812::12","2","120"
"ch:1:sloid:30812::10","ch:1:sloid:30812::13","2","60"
"ch:1:sloid:30812::10","ch:1:sloid:30812::2","2","60"
"ch:1:sloid:30812::10","ch:1:sloid:30812::21","2","60"
"ch:1:sloid:30812::11","ch:1:sloid:30812::0","2","120"
"ch:1:sloid:30812::11","ch:1:sloid:30812::1","2","120"
"ch:1:sloid:30812::11","ch:1:sloid:30812::10","2","120"
"ch:1:sloid:30812::11","ch:1:sloid:30812::12","2","180"
"ch:1:sloid:30812::11","ch:1:sloid:30812::13","2","180"
"ch:1:sloid:30812::11","ch:1:sloid:30812::2","2","120"
"ch:1:sloid:30812::11","ch:1:sloid:30812::21","2","120"
"ch:1:sloid:30812::12","ch:1:sloid:30812::0","2","120"
"ch:1:sloid:30812::12","ch:1:sloid:30812::1","2","120"
"ch:1:sloid:30812::12","ch:1:sloid:30812::10","2","120"
"ch:1:sloid:30812::12","ch:1:sloid:30812::11","2","180"
"ch:1:sloid:30812::12","ch:1:sloid:30812::13","2","120"
"ch:1:sloid:30812::12","ch:1:sloid:30812::2","2","120"
"ch:1:sloid:30812::12","ch:1:sloid:30812::21","2","120"
"ch:1:sloid:30812::13","ch:1:sloid:30812::0","2","60"
"ch:1:sloid:30812::13","ch:1:sloid:30812::1","2","60"
"ch:1:sloid:30812::13","ch:1:sloid:30812::10","2","60"
"ch:1:sloid:30812::13","ch:1:sloid:30812::11","2","180"
"ch:1:sloid:30812::13","ch:1:sloid:30812::12","2","120"
"ch:1:sloid:30812::13","ch:1:sloid:30812::2","2","60"
"ch:1:sloid:30812::13","ch:1:sloid:30812::21","2","60"
"ch:1:sloid:30812::2","ch:1:sloid:30812::0","2","60"
"ch:1:sloid:30812::2","ch:1:sloid:30812::1","2","60"
"ch:1:sloid:30812::2","ch:1:sloid:30812::10","2","60"
"ch:1:sloid:30812::2","ch:1:sloid:30812::11","2","120"
"ch:1:sloid:30812::2","ch:1:sloid:30812::12","2","120"
"ch:1:sloid:30812::2","ch:1:sloid:30812::13","2","60"
"ch:1:sloid:30812::2","ch:1:sloid:30812::21","2","60"
"ch:1:sloid:30812::21","ch:1:sloid:30812::0","2","60"
"ch:1:sloid:30812::21","ch:1:sloid:30812::1","2","60"
"ch:1:sloid:30812::21","ch:1:sloid:30812::10","2","60"
"ch:1:sloid:30812::21","ch:1:sloid:30812::11","2","120"
"ch:1:sloid:30812::21","ch:1:sloid:30812::12","2","120"
"ch:1:sloid:30812::21","ch:1:sloid:30812::13","2","60"
"ch:1:sloid:30812::21","ch:1:sloid:30812::2","2","60"
"ch:1:sloid:30813::0","ch:1:sloid:30813::1","2","60"
"ch:1:sloid:30813::0","ch:1:sloid:30813::11","2","120"
"ch:1:sloid:30813::1","ch:1:sloid:30813::0","2","60"
"ch:1:sloid:30813::1","ch:1:sloid:30813::11","2","120"
"ch:1:sloid:30813::11","ch:1:sloid:30813::0","2","120"
"ch:1:sloid:30813::11","ch:1:sloid:30813::1","2","120"
"ch:1:sloid:3082::50","ch:1:sloid:90464::51","2","480"
"ch:1:sloid:3082::50","ch:1:sloid:90464::53","2","480"
"ch:1:sloid:3082::50","ch:1:sloid:90464::54","2","480"
"ch:1:sloid:3082::50","ch:1:sloid:90464::55","2","480"
"ch:1:sloid:3082::50","ch:1:sloid:90469::50","2","240"
"ch:1:sloid:3082::50","ch:1:sloid:90469::51","2","240"
"ch:1:sloid:3083::0","ch:1:sloid:3083::1","2","60"
"ch:1:sloid:3083::0","ch:1:sloid:3083::2","2","120"
"ch:1:sloid:3083::0","ch:1:sloid:3083::3","2","120"
"ch:1:sloid:3083::0","ch:1:sloid:3083::4","2","120"
"ch:1:sloid:3083::1","ch:1:sloid:3083::0","2","60"
"ch:1:sloid:3083::1","ch:1:sloid:3083::2","2","120"
"ch:1:sloid:3083::1","ch:1:sloid:3083::3","2","120"
"ch:1:sloid:3083::1","ch:1:sloid:3083::4","2","120"
"ch:1:sloid:3083::2","ch:1:sloid:3083::0","2","120"
"ch:1:sloid:3083::2","ch:1:sloid:3083::1","2","120"
"ch:1:sloid:3083::2","ch:1:sloid:3083::3","2","60"
"ch:1:sloid:3083::2","ch:1:sloid:3083::4","2","180"
